,lg_id,word_row_ind,word,lg_name
0,0,0,world,english
1,0,0,earth,english
2,0,0,land,english
3,0,0,ground,english
4,0,0,soil,english
5,0,0,dust,english
6,0,0,mud,english
7,0,0,sand,english
8,0,0,mountain,english
9,0,0,hill,english
10,0,0,cliff,english
11,0,0,precipice,english
12,0,0,plain,english
13,0,0,field,english
14,0,0,valley,english
15,0,0,island,english
16,0,0,mainland,english
17,0,0,shore,english
18,0,0,cave,english
19,0,0,water,english
20,0,0,sea,english
21,0,0,calm,english
22,0,0,rough,english
23,0,0,foam,english
24,0,0,ocean,english
25,0,0,lake,english
26,0,0,gulf,english
27,0,0,bay,english
28,0,0,lagoon,english
29,0,0,reef,english
30,0,0,headland,english
31,0,0,point,english
32,0,0,wave,english
33,0,0,tide,english
34,0,0,lowtide,english
35,0,0,hightide,english
36,0,0,river,english
37,0,0,stream,english
38,0,0,brook,english
39,0,0,whirlpool,english
40,0,0,spring,english
41,0,0,well,english
42,0,0,swamp,english
43,0,0,waterfall,english
44,0,0,woods,english
45,0,0,forest,english
46,0,0,tree,english
47,0,0,wood,english
48,0,0,stone,english
49,0,0,rock,english
50,0,0,earthquake,english
51,0,0,sky,english
52,0,0,sun,english
53,0,0,moon,english
54,0,0,star,english
55,0,0,lightning,english
56,0,0,thunder,english
58,0,0,storm,english
59,0,0,rainbow,english
60,0,0,light,english
61,0,0,darkness,english
62,0,0,shade,english
63,0,0,shadow,english
64,0,0,dew,english
65,0,0,air,english
66,0,0,wind,english
67,0,0,cloud,english
68,0,0,fog,english
69,0,0,rain,english
70,0,0,snow,english
71,0,0,ice,english
72,0,0,weather,english
73,0,0,fire,english
74,0,0,flame,english
75,0,0,smoke,english
76,0,0,ashes,english
77,0,0,embers,english
78,0,0,burn,english
81,0,0,kindle,english
82,0,0,ignite,english
83,0,0,extinguish,english
84,0,0,match,english
85,0,0,firewood,english
86,0,0,charcoal,english
87,0,0,person,english
88,0,0,human,english
89,0,0,being,english
90,0,0,man,english
91,0,0,woman,english
92,0,0,male,english
93,0,0,female,english
94,0,0,boy,english
95,0,0,young,english
97,0,0,girl,english
100,0,0,child,english
101,0,0,infant,english
102,0,0,baby,english
103,0,0,husband,english
104,0,0,wife,english
105,0,0,marry,english
106,0,0,marriage,english
107,0,0,wedding,english
108,0,0,divorce,english
109,0,0,father,english
110,0,0,mother,english
111,0,0,parents,english
112,0,0,married,english
116,0,0,son,english
117,0,0,daughter,english
118,0,0,offspring,english
119,0,0,brother,english
120,0,0,older,english
122,0,0,younger,english
124,0,0,sister,english
129,0,0,sibling,english
130,0,0,twins,english
131,0,0,grandfather,english
132,0,0,old,english
134,0,0,grandmother,english
137,0,0,grandson,english
138,0,0,granddaughter,english
139,0,0,uncle,english
140,0,0,mother's,english
142,0,0,father's,english
144,0,0,aunt,english
149,0,0,nephew,english
150,0,0,niece,english
151,0,0,cousin,english
152,0,0,ancestors,english
153,0,0,descendants,english
155,0,1,in,english
156,0,2,law,english
178,0,0,stepfather,english
179,0,0,stepmother,english
180,0,0,stepson,english
181,0,0,stepdaughter,english
182,0,0,orphan,english
183,0,0,widow,english
184,0,0,widower,english
185,0,0,relatives,english
186,0,0,kinsmen,english
187,0,0,family,english
188,0,0,i,english
189,0,0,you,english
190,0,0,he,english
191,0,0,she,english
192,0,0,it,english
193,0,0,we,english
197,0,0,they,english
198,0,0,animal,english
201,0,0,livestock,english
202,0,0,pasture,english
203,0,0,herdsman,english
204,0,0,stable,english
205,0,0,stall,english
206,0,0,cattle,english
207,0,0,bull,english
208,0,0,ox,english
209,0,0,cow,english
210,0,0,calf,english
211,0,0,sheep,english
212,0,0,ram,english
213,0,0,ewe,english
214,0,0,lamb,english
215,0,0,boar,english
216,0,0,sow,english
217,0,0,pig,english
218,0,0,goat,english
221,0,0,kid,english
222,0,0,horse,english
223,0,0,stallion,english
224,0,0,mare,english
225,0,0,foal,english
226,0,0,colt,english
227,0,0,ass,english
228,0,0,donkey,english
229,0,0,mule,english
230,0,0,fowl,english
231,0,0,cock,english
232,0,0,rooster,english
233,0,0,hen,english
234,0,0,chicken,english
235,0,0,goose,english
236,0,0,duck,english
237,0,0,nest,english
238,0,0,bird,english
239,0,0,seagull,english
240,0,0,heron,english
241,0,0,eagle,english
242,0,0,hawk,english
243,0,0,vulture,english
244,0,0,bat,english
245,0,0,parrot,english
246,0,0,crow,english
247,0,0,dove,english
248,0,0,owl,english
249,0,0,dog,english
250,0,0,rabbit,english
251,0,0,cat,english
252,0,0,opossum,english
253,0,0,mouse,english
254,0,0,rat,english
255,0,0,fish,english
256,0,0,fin,english
257,0,0,fishscale,english
258,0,0,gill,english
259,0,0,shell,english
260,0,0,shark,english
261,0,0,porpoise,english
262,0,0,dolphin,english
263,0,0,whale,english
264,0,0,stingray,english
265,0,0,freshwater,english
266,0,0,eel,english
267,0,0,wolf,english
268,0,0,lion,english
269,0,0,bear,english
270,0,0,fox,english
271,0,0,deer,english
272,0,0,monkey,english
273,0,0,elephant,english
274,0,0,camel,english
275,0,0,insect,english
276,0,0,louse,english
277,0,0,nit,english
278,0,0,flea,english
279,0,0,centipede,english
280,0,0,scorpion,english
281,0,0,cockroach,english
282,0,0,ant,english
283,0,0,spider,english
285,0,0,web,english
286,0,0,bee,english
287,0,0,beeswax,english
288,0,0,beehive,english
289,0,0,wasp,english
290,0,0,fly,english
291,0,0,sandfly,english
292,0,0,midge,english
293,0,0,gnat,english
294,0,0,mosquito,english
295,0,0,worm,english
296,0,0,snake,english
297,0,0,firefly,english
298,0,0,butterfly,english
299,0,0,grasshopper,english
300,0,0,snail,english
301,0,0,frog,english
302,0,0,lizard,english
303,0,0,crocodile,english
304,0,0,alligator,english
305,0,0,turtle,english
306,0,0,body,english
307,0,0,skin,english
308,0,0,hide,english
309,0,0,flesh,english
310,0,0,hair,english
311,0,0,beard,english
314,0,0,pubic,english
316,0,0,dandruff,english
317,0,0,blood,english
318,0,0,vein,english
319,0,0,artery,english
320,0,0,bone,english
321,0,0,rib,english
322,0,0,horn,english
323,0,0,tail,english
324,0,0,back,english
325,0,0,spine,english
326,0,0,head,english
327,0,0,side,english
328,0,0,of,english
330,0,0,temple,english
331,0,0,skull,english
332,0,0,brain,english
333,0,0,face,english
334,0,0,forehead,english
335,0,0,jaw,english
336,0,0,cheek,english
337,0,0,chin,english
338,0,0,eye,english
339,0,0,eyebrow,english
340,0,0,eyelid,english
341,0,0,eyelash,english
342,0,0,blink,english
343,0,0,ear,english
344,0,0,earlobe,english
345,0,0,earwax,english
346,0,0,nose,english
347,0,0,nostril,english
348,0,0,mucus,english
349,0,0,mouth,english
350,0,0,beak,english
351,0,0,lip,english
352,0,0,tongue,english
353,0,0,tooth,english
354,0,0,gums,english
355,0,0,molartooth,english
356,0,0,neck,english
357,0,0,nape,english
360,0,0,throat,english
361,0,0,shoulder,english
362,0,0,shoulderblade,english
363,0,0,collarbone,english
364,0,0,arm,english
365,0,0,armpit,english
366,0,0,elbow,english
367,0,0,wrist,english
368,0,0,hand,english
369,0,0,palm,english
372,0,0,finger,english
373,0,0,thumb,english
374,0,0,fingernail,english
375,0,0,claw,english
376,0,0,leg,english
377,0,0,thigh,english
381,0,0,knee,english
382,0,0,foot,english
383,0,0,ankle,english
384,0,0,heel,english
385,0,0,footprint,english
386,0,0,toe,english
387,0,0,wing,english
388,0,0,feather,english
389,0,0,chest,english
390,0,0,breast,english
391,0,0,nipple,english
392,0,0,teat,english
393,0,0,udder,english
394,0,0,navel,english
395,0,0,heart,english
396,0,0,lung,english
397,0,0,liver,english
398,0,0,kidney,english
399,0,0,spleen,english
